22:57:41.695 INFO   - MainWindow::updateAfterCommandStatusBarCoords
22:57:41.696 INFO   - Document::iterateThroughCurvePointsAxes
22:57:41.696 INFO   - CoordSystemContext::iterateThroughCurvePointsAxes
22:57:41.696 INFO   - DocumentModelColorFilter::DocumentModelColorFilter
22:57:41.696 INFO   - BackgroundStateContext::setCurveSelected curve=Curve1
22:57:41.696 INFO   - BackgroundStateCurve::setCurveSelected curve=Curve1
22:57:41.696 INFO   - BackgroundStateCurve::processImageFromSavedInputs
22:57:41.698 INFO   - DocumentModelColorFilter::high curve=Curve1 curves=Curve1,Axes
22:57:41.698 INFO   - DocumentModelColorFilter::low curve=Curve1 curves=Curve1,Axes
22:57:41.924 INFO   - GridRemoval::remove transformationIsDefined=false removeDefinedGridLines=false
22:57:41.924 INFO   - BackgroundStateAbstractBase::setProcessedPixmap map=(756x432)
22:57:41.925 INFO   - BackgroundStateNone::setCurveSelected
22:57:41.925 INFO   - BackgroundStateOriginal::setCurveSelected
22:57:41.925 INFO   - BackgroundStateUnloaded::setCurveSelected
22:57:41.925 INFO   - MainWindow::updateGridLines
22:57:41.926 INFO   - GraphicsScene::updateAfterCommand
22:57:41.926 INFO   - GraphicsLinesForCurves::updateHighlightOpacity highlightOpacity=0.35
22:57:41.926 INFO   - GraphicsScene::updateCurves
22:57:41.926 INFO   - Document::curvesGraphsNames
22:57:41.926 INFO   - CoordSystemContext::curvesGraphsNames
22:57:41.926 INFO   - GraphicsLinesForCurves::addRemoveCurves curveCount=0
22:57:41.927 INFO   - GraphicsScene::updatePointMembership
22:57:41.927 INFO   - GraphicsLinesForCurves::lineMembershipReset
22:57:41.927 INFO   - GraphicsLinesForCurve::lineMembershipReset curve=Curve1
22:57:41.927 INFO   - GraphicsLinesForCurve::lineMembershipReset curve=Axes
22:57:41.927 INFO   - Document::iterateThroughCurvePointsAxes
22:57:41.927 INFO   - CoordSystemContext::iterateThroughCurvePointsAxes
22:57:41.927 INFO   - Document::iterateThroughCurvesPointsGraphs
22:57:41.927 INFO   - CoordSystemContext::iterateThroughCurvesPointsGraphs
22:57:41.928 INFO   - GraphicsLinesForCurves::lineMembershipPurge
22:57:41.928 INFO   - GraphicsLinesForCurve::lineMembershipPurge curve=Curve1
22:57:41.928 INFO   - GraphicsLinesForCurve::updateGraphicsLinesToMatchGraphicsPoints numberPoints=0 ordinalRenumbering=false
22:57:41.928 INFO   - GraphicsLinesForCurve::drawLinesStraight curve=Curve1
22:57:41.928 INFO   - GraphicsLinesForCurve::lineMembershipPurge curve=Axes
22:57:41.928 INFO   - GraphicsLinesForCurve::updateGraphicsLinesToMatchGraphicsPoints numberPoints=0 ordinalRenumbering=false
22:57:41.928 INFO   - DigitizeStateEmpty::updateAfterPointAddition
22:57:41.928 INFO   - MainWindow::updateControls selectedItems=0
22:57:41.928 INFO   - CmdStackShadow::canRedo
22:57:41.929 INFO   - MainWindow::updateChecklistGuide
22:57:41.929 INFO   - ChecklistGuide::update
22:57:41.929 INFO   - ChecklistGuideBrowser::update
22:57:41.929 INFO   - ChecklistGuideBrowser::repopulateCheckedTags
22:57:41.929 INFO   - Document::curveAxes
22:57:41.929 INFO   - CoordSystemContext::curveAxes
22:57:41.930 INFO   - Document::curveAxes
22:57:41.930 INFO   - CoordSystemContext::curveAxes
22:57:41.930 INFO   - Document::curveAxes
22:57:41.930 INFO   - CoordSystemContext::curveAxes
22:57:41.930 INFO   - ChecklistGuideBrowser::refresh
22:57:41.930 INFO   - ChecklistGuideBrowser::processAhrefs
22:57:41.930 INFO   - ChecklistGuideBrowser::bindToDocument
22:57:41.930 INFO   - ChecklistGuideBrowser::bindToDocument
22:57:41.930 INFO   - ChecklistGuideBrowser::bindToDocument
22:57:41.930 INFO   - ChecklistGuideBrowser::bindToDocument
22:57:41.930 INFO   - ChecklistGuideBrowser::bindToDocument
22:57:41.930 INFO   - ChecklistGuideBrowser::processCheckboxes
22:57:41.930 INFO   - ChecklistGuideBrowser::check
22:57:41.930 INFO   - ChecklistGuideBrowser::check
22:57:41.930 INFO   - ChecklistGuideBrowser::check
22:57:41.931 INFO   - ChecklistGuideBrowser::check
22:57:41.931 INFO   - ChecklistGuideBrowser::check
22:57:41.931 INFO   - ChecklistGuideBrowser::processDivs
22:57:41.931 INFO   - ChecklistGuideBrowser::divShow anchor=
22:57:41.931 INFO   - ChecklistGuideBrowser::divHide anchor=BACKGROUND
22:57:41.931 INFO   - ChecklistGuideBrowser::divHide anchor=AXIS1
